issuer,class,cusip,put_call,prev_shares,cur_shares,delta_shares,prev_value,cur_value,delta_value
ALLY FINL INC,COM,02005N100,,29000000,27000000,-2000000,1137670000,1240650000,102980000
ALPHABET INC,CAP STK CL C,02079K107,,3585215,27188433,23603218,1028454775,9606489032,8578034257
ALPHABET INC,CAP STK CL A,02079K305,,54249798,78791167,24541369,15600071913,28157599351,12557527438
AMERICAN EXPRESS CO,COM,025816109,,151610700,151610700,0,45859204536,51282319275,5423114739
APPLE INC,COM,037833100,,227917808,227917808,0,57843260493,65950296923,8107036430
BANK OF AMER CORP,COM,060505104,,513624165,483394015,-30230150,25039178044,27543790975,2504612931
CAPITAL ONE FINL CORP,COM,14040H105,,7150000,3000000,-4150000,1304374500,601860000,-702514500
CHEVRON CORPORATION,COM,166764100,,84375856,84375856,0,17457364606,13986141890,-3471222716
COCA COLA CO,COM,191216100,,400000000,400000000,0,30420000000,32508000000,2088000000
CONSTELLATION BRANDS INC,CL A,21036P108,,632890,0,-632890,94933500,0,-94933500
D R HORTON INC,COM,23331A109,,0,3564,3564,0,580504,580504
DAVITA INC,COM,23918K108,,30100585,28880209,-1220376,4626158909,6425268898,1799109989
DELTA AIR LINES INC,COM NEW,247361702,,39809456,57320000,17510544,2646532635,5368591200,2722058565
JEFFERIES FINANCIAL GROUP IN,COM,47233W109,,433558,433558,0,17892939,21669229,3776290
KRAFT HEINZ CO,COM,500754106,,325634818,325634818,0,7323527057,7691494401,367967344
KROGER CO,COM,501044101,,50000000,39000000,-11000000,3618000000,2165670000,-1452330000
LENNAR CORP,CL A,526057104,,10099642,13111741,3012099,877052911,1186481443,309428532
LENNAR CORP,CL B,526057302,,237703,298117,60414,19995576,26445959,6450383
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,,4986588,4986588,0,456970925,504941901,47970976
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,,10587143,10587143,0,996356028,1118425787,122069759
LOUISIANA PAC CORP,COM,546347105,,5664793,5664793,0,412113691,445592617,33478926
MACYS INC,COM,55616P104,,3038355,7347426,4309071,54963842,173031882,118068040
MOODYS CORP,COM,615369105,,24669778,24669778,0,10762190653,11173435852,411245199
NVR INC,COM,62944T105,,11112,11112,0,73226191,75710501,2484310
NEW YORK TIMES CO MTN BE,CL A,650111107,,15146535,15700000,553465,1268219376,1098686000,-169533376
NUCOR CORP,COM,670346105,,3907075,1857752,-2049323,660686383,413814258,-246872125
OCCIDENTAL PETE CORP,COM,674599105,,264941431,264941431,0,17221193015,12868205304,-4352987711
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,,124807117,124807117,0,2880548260,3686802237,806253977
VERISIGN INC,COM,92343E102,,8989880,8989880,0,2232726597,2261494212,28767615
CHUBB LIMITED,COM,H1467J104,,34249183,34249183,0,11162836215,11670066615,507230400
